time,q_[0],q_[1],q_[2],q_[3],q_[4],q_[5],q_[6],q_[7],desired_q_[0],desired_q_[1],desired_q_[2],desired_q_[3],desired_q_[4],desired_q_[5],desired_q_[6],desired_q_[7],desired_torque_[0],desired_torque_[1],desired_torque_[2],desired_torque_[3],desired_torque_[4],desired_torque_[5],desired_torque_[6],desired_torque_[7]
0.4267,-0.0240,0.4689,-1.4909,0.4943,0.0343,0.1694,-0.5922,0.9041,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,0.0100,0.7545,-2.5000,2.5000,-0.0065
0.4333,-0.0238,0.3225,-1.2702,0.5647,0.0321,0.1511,-0.6274,0.8861,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,-0.0066,0.7545,-2.5000,2.5000,0.0053
0.4400,-0.0238,0.1769,-0.8840,0.6218,0.0294,0.1436,-0.6697,0.8231,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,0.0080,2.5000,-2.5000,0.9781,-0.0065
0.4467,-0.0239,0.1003,-0.6755,0.6946,0.0274,0.1425,-0.7150,0.8411,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,2.5000,2.5000,-0.0100,2.5000,-2.5000,0.9781,0.0048
0.4533,-0.0239,0.0838,-0.5973,0.8095,0.0262,0.1447,-0.7636,0.8024,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,-2.5000,0.0054,2.5000,0.8093,2.5000,-0.0064
0.4600,-0.0239,0.1142,-0.6758,0.7529,0.0255,0.1489,-0.8066,0.8179,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,-0.0098,2.5000,2.5000,2.5000,0.0062
0.4667,-0.0239,0.1591,-0.8966,0.8195,0.0251,0.1653,-0.8390,0.6964,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.5000,-2.5000,2.5000,0.0099,2.5000,2.5000,2.5000,0.0007
0.4733,-0.0238,0.1817,-1.0092,0.7826,0.0247,0.2117,-0.8645,0.7474,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.0608,-2.5000,2.5000,-0.0100,2.5000,-2.5000,2.5000,-0.0027
0.4800,-0.0237,0.1885,-1.0555,0.8839,0.0244,0.2661,-0.8813,0.7563,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,-2.0608,-2.5000,2.5000,0.0045,2.5000,-2.5000,2.5000,0.0028
0.4867,-0.0234,0.1826,-1.0660,0.7848,0.0243,0.2851,-0.8882,0.7761,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,0.7629,-1.6215,2.5000,-0.0016,-0.8721,-2.5000,2.5000,-0.0063
0.4933,-0.0216,0.1774,-1.0585,0.8462,0.0229,0.2715,-0.8898,0.8593,0.0000,0.6390,-1.4000,0.7540,0.0000,0.6390,-1.4000,0.7540,0.7629,-1.6215,2.5000,-0.0045,-0.8721,-2.5000,2.5000,-0.0007
